Zonas de movilidad,Tipo de dato,Periodo,Total
Total Nacional,Porcentaje de población que sale del área,2021-12-15,21.03
Total Nacional,Porcentaje de población que sale del área,2021-12-12,12.87
Total Nacional,Porcentaje de población que sale del área,2021-08-12,12.32
Total Nacional,Porcentaje de población que sale del área,2021-01-12,21.39
Total Nacional,Porcentaje de población que sale del área,2021-11-28,10.75
Total Nacional,Porcentaje de población que sale del área,2021-11-24,20.74
Total Nacional,Porcentaje de población que sale del área,2021-11-21,12.63
Total Nacional,Porcentaje de población que sale del área,2021-11-17,21.12
Total Nacional,Porcentaje de población que sale del área,2021-11-14,13.47
Total Nacional,Porcentaje de población que sale del área,2021-10-11,20.85
Total Nacional,Porcentaje de población que sale del área,2021-07-11,13.16
Total Nacional,Porcentaje de población que sale del área,2021-03-11,15.29
Total Nacional,Porcentaje de población que sale del área,2021-10-31,13.27
Total Nacional,Porcentaje de población que sale del área,2021-10-27,20.83
Total Nacional,Porcentaje de población que sale del área,2021-10-24,13.57
Total Nacional,Porcentaje de población que sale del área,2021-10-20,20.71
Total Nacional,Porcentaje de población que sale del área,2021-10-17,13.33
Total Nacional,Porcentaje de población que sale del área,2021-10-13,18.5
Total Nacional,Porcentaje de población que sale del área,2021-10-10,13.37
Total Nacional,Porcentaje de población que sale del área,2021-06-10,21.05
Total Nacional,Porcentaje de población que sale del área,2021-03-10,10.83
Total Nacional,Porcentaje de población que sale del área,2021-09-29,20.89
Total Nacional,Porcentaje de población que sale del área,2021-09-26,13.52
Total Nacional,Porcentaje de población que sale del área,2021-09-22,19.83
Total Nacional,Porcentaje de población que sale del área,2021-09-19,13.55
Total Nacional,Porcentaje de población que sale del área,2021-09-15,20.11
Total Nacional,Porcentaje de población que sale del área,2021-12-09,13.61
Total Nacional,Porcentaje de población que sale del área,2021-08-09,18.76
Total Nacional,Porcentaje de población que sale del área,2021-05-09,13.48
Total Nacional,Porcentaje de población que sale del área,2021-01-09,18.52
Total Nacional,Porcentaje de población que sale del área,2021-08-29,12.48
Total Nacional,Porcentaje de población que sale del área,2021-08-25,16.94
Total Nacional,Porcentaje de población que sale del área,2021-08-22,12.33
