Zonas de movilidad	Tipo de dato	Periodo	Total
Total Nacional	Porcentaje de población que sale del área	15/12/2021	21,03
Total Nacional	Porcentaje de población que sale del área	12/12/2021	12,87
Total Nacional	Porcentaje de población que sale del área	8/12/2021	12,32
Total Nacional	Porcentaje de población que sale del área	1/12/2021	21,39
Total Nacional	Porcentaje de población que sale del área	28/11/2021	10,75
Total Nacional	Porcentaje de población que sale del área	24/11/2021	20,74
Total Nacional	Porcentaje de población que sale del área	21/11/2021	12,63
Total Nacional	Porcentaje de población que sale del área	17/11/2021	21,12
Total Nacional	Porcentaje de población que sale del área	14/11/2021	13,47
Total Nacional	Porcentaje de población que sale del área	10/11/2021	20,85
Total Nacional	Porcentaje de población que sale del área	7/11/2021	13,16
Total Nacional	Porcentaje de población que sale del área	3/11/2021	15,29
Total Nacional	Porcentaje de población que sale del área	31/10/2021	13,27
Total Nacional	Porcentaje de población que sale del área	27/10/2021	20,83
Total Nacional	Porcentaje de población que sale del área	24/10/2021	13,57
Total Nacional	Porcentaje de población que sale del área	20/10/2021	20,71
Total Nacional	Porcentaje de población que sale del área	17/10/2021	13,33
Total Nacional	Porcentaje de población que sale del área	13/10/2021	18,5
Total Nacional	Porcentaje de población que sale del área	10/10/2021	13,37
Total Nacional	Porcentaje de población que sale del área	6/10/2021	21,05
Total Nacional	Porcentaje de población que sale del área	3/10/2021	10,83
Total Nacional	Porcentaje de población que sale del área	29/9/2021	20,89
Total Nacional	Porcentaje de población que sale del área	26/9/2021	13,52
Total Nacional	Porcentaje de población que sale del área	22/9/2021	19,83
Total Nacional	Porcentaje de población que sale del área	19/9/2021	13,55
Total Nacional	Porcentaje de población que sale del área	15/9/2021	20,11
Total Nacional	Porcentaje de población que sale del área	12/9/2021	13,61
Total Nacional	Porcentaje de población que sale del área	8/9/2021	18,76
Total Nacional	Porcentaje de población que sale del área	5/9/2021	13,48
Total Nacional	Porcentaje de población que sale del área	1/9/2021	18,52
Total Nacional	Porcentaje de población que sale del área	29/8/2021	12,48
Total Nacional	Porcentaje de población que sale del área	25/8/2021	16,94
Total Nacional	Porcentaje de población que sale del área	22/8/2021	12,33
Total Nacional	Porcentaje de población que sale del área	18/8/2021	16,43
Total Nacional	Porcentaje de población que sale del área	15/8/2021	12,37
Total Nacional	Porcentaje de población que sale del área	11/8/2021	16,72
Total Nacional	Porcentaje de población que sale del área	8/8/2021	12,37
Total Nacional	Porcentaje de población que sale del área	4/8/2021	17,15
Total Nacional	Porcentaje de población que sale del área	1/8/2021	12,77
Total Nacional	Porcentaje de población que sale del área	28/7/2021	18,62
Total Nacional	Porcentaje de población que sale del área	25/7/2021	12,6
Total Nacional	Porcentaje de población que sale del área	21/7/2021	18,96
Total Nacional	Porcentaje de población que sale del área	18/7/2021	12,56
Total Nacional	Porcentaje de población que sale del área	14/7/2021	19,26
Total Nacional	Porcentaje de población que sale del área	11/7/2021	13,22
Total Nacional	Porcentaje de población que sale del área	7/7/2021	19,43
Total Nacional	Porcentaje de población que sale del área	4/7/2021	12,83
Total Nacional	Porcentaje de población que sale del área	30/6/2021	20,19
Total Nacional	Porcentaje de población que sale del área	27/6/2021	13,75
Total Nacional	Porcentaje de población que sale del área	23/6/2021	13,74
Total Nacional	Porcentaje de población que sale del área	20/6/2021	13,19
Total Nacional	Porcentaje de población que sale del área	16/6/2021	20,72
Total Nacional	Porcentaje de población que sale del área	13/6/2021	14,05
Total Nacional	Porcentaje de población que sale del área	9/6/2021	20,65
Total Nacional	Porcentaje de población que sale del área	6/6/2021	13,7
Total Nacional	Porcentaje de población que sale del área	2/6/2021	20,59
Total Nacional	Porcentaje de población que sale del área	30/5/2021	11,31
Total Nacional	Porcentaje de población que sale del área	26/5/2021	18,68
Total Nacional	Porcentaje de población que sale del área	23/5/2021	9,62
Total Nacional	Porcentaje de población que sale del área	19/5/2021	20,65
Total Nacional	Porcentaje de población que sale del área	16/5/2021	13,29
Total Nacional	Porcentaje de población que sale del área	12/5/2021	18,62
Total Nacional	Porcentaje de población que sale del área	9/5/2021	12,48
Total Nacional	Porcentaje de población que sale del área	5/5/2021	20,14
Total Nacional	Porcentaje de población que sale del área	2/5/2021	8,69
Total Nacional	Porcentaje de población que sale del área	28/4/2021	19,46
Total Nacional	Porcentaje de población que sale del área	25/4/2021	8,2
Total Nacional	Porcentaje de población que sale del área	21/4/2021	19,38
Total Nacional	Porcentaje de población que sale del área	18/4/2021	12,16
Total Nacional	Porcentaje de población que sale del área	14/4/2021	20,25
